contrast,block_id,pair_type,hybrid,replay_id,result,steps,common_support_steps
development_h2,libero_10-task00-state20,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task00-state20-baseline_arm_plus_treatment_gripper,CENSORED,478,478
development_h2,libero_10-task00-state20,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task00-state20-treatment_arm_plus_baseline_gripper,CENSORED,478,478
development_h2,libero_10-task00-state24,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task00-state24-baseline_arm_plus_treatment_gripper,CENSORED,364,364
development_h2,libero_10-task00-state24,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task00-state24-treatment_arm_plus_baseline_gripper,CENSORED,364,364
development_h2,libero_10-task00-state26,harm,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task00-state26-baseline_arm_plus_treatment_gripper,CENSORED,314,314
development_h2,libero_10-task00-state26,harm,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task00-state26-treatment_arm_plus_baseline_gripper,CENSORED,314,314
development_h2,libero_10-task01-state36,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task01-state36-baseline_arm_plus_treatment_gripper,CENSORED,248,248
development_h2,libero_10-task01-state36,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task01-state36-treatment_arm_plus_baseline_gripper,CENSORED,248,248
development_h2,libero_10-task01-state38,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task01-state38-baseline_arm_plus_treatment_gripper,CENSORED,280,280
development_h2,libero_10-task01-state38,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task01-state38-treatment_arm_plus_baseline_gripper,CENSORED,280,280
development_h2,libero_10-task01-state40,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task01-state40-baseline_arm_plus_treatment_gripper,CENSORED,296,296
development_h2,libero_10-task01-state40,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task01-state40-treatment_arm_plus_baseline_gripper,CENSORED,296,296
development_h2,libero_10-task01-state44,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task01-state44-baseline_arm_plus_treatment_gripper,CENSORED,259,259
development_h2,libero_10-task01-state44,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task01-state44-treatment_arm_plus_baseline_gripper,CENSORED,259,259
development_h2,libero_10-task02-state23,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task02-state23-baseline_arm_plus_treatment_gripper,CENSORED,259,259
development_h2,libero_10-task02-state23,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task02-state23-treatment_arm_plus_baseline_gripper,CENSORED,259,259
development_h2,libero_10-task02-state26,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task02-state26-baseline_arm_plus_treatment_gripper,CENSORED,254,254
development_h2,libero_10-task02-state26,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task02-state26-treatment_arm_plus_baseline_gripper,CENSORED,254,254
development_h2,libero_10-task03-state21,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task03-state21-baseline_arm_plus_treatment_gripper,CENSORED,258,258
development_h2,libero_10-task03-state21,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task03-state21-treatment_arm_plus_baseline_gripper,CENSORED,258,258
development_h2,libero_10-task04-state21,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task04-state21-baseline_arm_plus_treatment_gripper,CENSORED,202,202
development_h2,libero_10-task04-state21,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task04-state21-treatment_arm_plus_baseline_gripper,CENSORED,202,202
development_h2,libero_10-task04-state25,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task04-state25-baseline_arm_plus_treatment_gripper,CENSORED,204,204
development_h2,libero_10-task04-state25,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task04-state25-treatment_arm_plus_baseline_gripper,CENSORED,204,204
development_h2,libero_10-task04-state27,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task04-state27-baseline_arm_plus_treatment_gripper,CENSORED,220,220
development_h2,libero_10-task04-state27,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task04-state27-treatment_arm_plus_baseline_gripper,CENSORED,220,220
development_h2,libero_10-task04-state28,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task04-state28-baseline_arm_plus_treatment_gripper,CENSORED,215,215
development_h2,libero_10-task04-state28,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task04-state28-treatment_arm_plus_baseline_gripper,CENSORED,215,215
development_h2,libero_10-task04-state30,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task04-state30-baseline_arm_plus_treatment_gripper,CENSORED,209,209
development_h2,libero_10-task04-state30,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task04-state30-treatment_arm_plus_baseline_gripper,CENSORED,209,209
development_h2,libero_10-task04-state31,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task04-state31-baseline_arm_plus_treatment_gripper,CENSORED,271,271
development_h2,libero_10-task04-state31,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task04-state31-treatment_arm_plus_baseline_gripper,CENSORED,271,271
development_h2,libero_10-task06-state24,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task06-state24-baseline_arm_plus_treatment_gripper,CENSORED,209,209
development_h2,libero_10-task06-state24,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task06-state24-treatment_arm_plus_baseline_gripper,CENSORED,209,209
development_h2,libero_10-task07-state20,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task07-state20-baseline_arm_plus_treatment_gripper,CENSORED,282,282
development_h2,libero_10-task07-state20,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task07-state20-treatment_arm_plus_baseline_gripper,CENSORED,282,282
development_h2,libero_10-task07-state22,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task07-state22-baseline_arm_plus_treatment_gripper,CENSORED,251,251
development_h2,libero_10-task07-state22,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task07-state22-treatment_arm_plus_baseline_gripper,CENSORED,251,251
development_h2,libero_10-task07-state29,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task07-state29-baseline_arm_plus_treatment_gripper,CENSORED,239,239
development_h2,libero_10-task07-state29,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task07-state29-treatment_arm_plus_baseline_gripper,CENSORED,239,239
development_h2,libero_10-task09-state31,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task09-state31-baseline_arm_plus_treatment_gripper,CENSORED,242,242
development_h2,libero_10-task09-state31,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task09-state31-treatment_arm_plus_baseline_gripper,CENSORED,242,242
development_h2,libero_10-task09-state36,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task09-state36-baseline_arm_plus_treatment_gripper,CENSORED,250,250
development_h2,libero_10-task09-state36,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task09-state36-treatment_arm_plus_baseline_gripper,CENSORED,250,250
development_h2,libero_10-task09-state38,rescue,baseline_arm_plus_treatment_gripper,development_h2-libero_10-task09-state38-baseline_arm_plus_treatment_gripper,CENSORED,382,382
development_h2,libero_10-task09-state38,rescue,treatment_arm_plus_baseline_gripper,development_h2-libero_10-task09-state38-treatment_arm_plus_baseline_gripper,CENSORED,382,382
phase1_h4,libero_10-task00-state23,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task00-state23-baseline_arm_plus_treatment_gripper,CENSORED,281,281
phase1_h4,libero_10-task00-state23,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task00-state23-treatment_arm_plus_baseline_gripper,CENSORED,281,281
phase1_h4,libero_10-task00-state24,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task00-state24-baseline_arm_plus_treatment_gripper,CENSORED,228,228
phase1_h4,libero_10-task00-state24,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task00-state24-treatment_arm_plus_baseline_gripper,CENSORED,228,228
phase1_h4,libero_10-task00-state25,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task00-state25-baseline_arm_plus_treatment_gripper,CENSORED,282,282
phase1_h4,libero_10-task00-state25,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task00-state25-treatment_arm_plus_baseline_gripper,CENSORED,282,282
phase1_h4,libero_10-task00-state27,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task00-state27-baseline_arm_plus_treatment_gripper,CENSORED,381,381
phase1_h4,libero_10-task00-state27,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task00-state27-treatment_arm_plus_baseline_gripper,CENSORED,381,381
phase1_h4,libero_10-task00-state34,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task00-state34-baseline_arm_plus_treatment_gripper,CENSORED,277,277
phase1_h4,libero_10-task00-state34,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task00-state34-treatment_arm_plus_baseline_gripper,CENSORED,277,277
phase1_h4,libero_10-task00-state35,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task00-state35-baseline_arm_plus_treatment_gripper,CENSORED,256,256
phase1_h4,libero_10-task00-state35,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task00-state35-treatment_arm_plus_baseline_gripper,CENSORED,256,256
phase1_h4,libero_10-task01-state15,harm,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task01-state15-baseline_arm_plus_treatment_gripper,CENSORED,469,469
phase1_h4,libero_10-task01-state15,harm,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task01-state15-treatment_arm_plus_baseline_gripper,CENSORED,469,469
phase1_h4,libero_10-task01-state41,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task01-state41-baseline_arm_plus_treatment_gripper,CENSORED,329,329
phase1_h4,libero_10-task01-state41,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task01-state41-treatment_arm_plus_baseline_gripper,CENSORED,329,329
phase1_h4,libero_10-task02-state20,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task02-state20-baseline_arm_plus_treatment_gripper,CENSORED,240,240
phase1_h4,libero_10-task02-state20,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task02-state20-treatment_arm_plus_baseline_gripper,CENSORED,240,240
phase1_h4,libero_10-task02-state25,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task02-state25-baseline_arm_plus_treatment_gripper,CENSORED,249,249
phase1_h4,libero_10-task02-state25,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task02-state25-treatment_arm_plus_baseline_gripper,CENSORED,249,249
phase1_h4,libero_10-task02-state31,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task02-state31-baseline_arm_plus_treatment_gripper,CENSORED,229,229
phase1_h4,libero_10-task02-state31,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task02-state31-treatment_arm_plus_baseline_gripper,CENSORED,229,229
phase1_h4,libero_10-task02-state35,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task02-state35-baseline_arm_plus_treatment_gripper,SUCCESS,239,239
phase1_h4,libero_10-task02-state35,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task02-state35-treatment_arm_plus_baseline_gripper,CENSORED,239,239
phase1_h4,libero_10-task02-state36,harm,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task02-state36-baseline_arm_plus_treatment_gripper,CENSORED,239,239
phase1_h4,libero_10-task02-state36,harm,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task02-state36-treatment_arm_plus_baseline_gripper,CENSORED,239,239
phase1_h4,libero_10-task02-state41,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task02-state41-baseline_arm_plus_treatment_gripper,CENSORED,236,236
phase1_h4,libero_10-task02-state41,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task02-state41-treatment_arm_plus_baseline_gripper,CENSORED,236,236
phase1_h4,libero_10-task02-state45,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task02-state45-baseline_arm_plus_treatment_gripper,CENSORED,268,268
phase1_h4,libero_10-task02-state45,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task02-state45-treatment_arm_plus_baseline_gripper,CENSORED,268,268
phase1_h4,libero_10-task03-state19,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task03-state19-baseline_arm_plus_treatment_gripper,CENSORED,220,220
phase1_h4,libero_10-task03-state19,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task03-state19-treatment_arm_plus_baseline_gripper,CENSORED,220,220
phase1_h4,libero_10-task03-state21,harm,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task03-state21-baseline_arm_plus_treatment_gripper,SUCCESS,233,233
phase1_h4,libero_10-task03-state21,harm,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task03-state21-treatment_arm_plus_baseline_gripper,CENSORED,233,233
phase1_h4,libero_10-task03-state24,harm,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task03-state24-baseline_arm_plus_treatment_gripper,CENSORED,297,297
phase1_h4,libero_10-task03-state24,harm,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task03-state24-treatment_arm_plus_baseline_gripper,CENSORED,297,297
phase1_h4,libero_10-task03-state25,harm,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task03-state25-baseline_arm_plus_treatment_gripper,CENSORED,257,257
phase1_h4,libero_10-task03-state25,harm,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task03-state25-treatment_arm_plus_baseline_gripper,CENSORED,257,257
phase1_h4,libero_10-task03-state29,harm,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task03-state29-baseline_arm_plus_treatment_gripper,CENSORED,243,243
phase1_h4,libero_10-task03-state29,harm,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task03-state29-treatment_arm_plus_baseline_gripper,CENSORED,243,243
phase1_h4,libero_10-task03-state40,harm,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task03-state40-baseline_arm_plus_treatment_gripper,SUCCESS,215,215
phase1_h4,libero_10-task03-state40,harm,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task03-state40-treatment_arm_plus_baseline_gripper,CENSORED,215,215
phase1_h4,libero_10-task03-state41,harm,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task03-state41-baseline_arm_plus_treatment_gripper,CENSORED,304,304
phase1_h4,libero_10-task03-state41,harm,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task03-state41-treatment_arm_plus_baseline_gripper,CENSORED,304,304
phase1_h4,libero_10-task04-state17,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task04-state17-baseline_arm_plus_treatment_gripper,CENSORED,248,248
phase1_h4,libero_10-task04-state17,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task04-state17-treatment_arm_plus_baseline_gripper,CENSORED,248,248
phase1_h4,libero_10-task04-state19,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task04-state19-baseline_arm_plus_treatment_gripper,CENSORED,240,240
phase1_h4,libero_10-task04-state19,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task04-state19-treatment_arm_plus_baseline_gripper,SUCCESS,218,240
phase1_h4,libero_10-task04-state21,harm,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task04-state21-baseline_arm_plus_treatment_gripper,CENSORED,216,216
phase1_h4,libero_10-task04-state21,harm,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task04-state21-treatment_arm_plus_baseline_gripper,CENSORED,216,216
phase1_h4,libero_10-task04-state24,harm,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task04-state24-baseline_arm_plus_treatment_gripper,CENSORED,234,234
phase1_h4,libero_10-task04-state24,harm,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task04-state24-treatment_arm_plus_baseline_gripper,CENSORED,234,234
phase1_h4,libero_10-task04-state25,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task04-state25-baseline_arm_plus_treatment_gripper,CENSORED,212,212
phase1_h4,libero_10-task04-state25,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task04-state25-treatment_arm_plus_baseline_gripper,CENSORED,212,212
phase1_h4,libero_10-task04-state28,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task04-state28-baseline_arm_plus_treatment_gripper,CENSORED,219,219
phase1_h4,libero_10-task04-state28,rescue,treatment_arm_plus_baseline_gripper,phase1_h4-libero_10-task04-state28-treatment_arm_plus_baseline_gripper,CENSORED,219,219
phase1_h4,libero_10-task04-state31,rescue,baseline_arm_plus_treatment_gripper,phase1_h4-libero_10-task04-state31-baseline_arm_plus_treatment_gripper,CENSORED,216,216
