method,task_id,episodes,targets,dimension_weighted_semantic_error,translation_normalized_mse,translation_l2_action_units,rotation_geodesic_radians,rotation_normalized_sq,gripper_sign_error,raw_7d_mse,equal_group_semantic_error,arm_gripper_balanced_semantic_error
b1_uniform,3,4,571,0.6788251367962603,0.465549729881848,0.4271406368510652,0.0591616546856811,1.0178460249018735,0.3015886932226576,0.1350681587510332,0.5949948160021263,0.5216432853072592
b1_uniform,4,4,659,0.604395118775086,0.6057579987702868,0.5040323887597711,0.04848648592423111,0.7043196590507497,0.30053285796249374,0.15099350404683007,0.5368701719278434,0.47778584343650604
b1_uniform,5,4,571,0.6800695273871746,0.5818789586180368,0.4881703336400824,0.05907299736195515,0.9380712362535282,0.20063610709552762,0.1357076382306212,0.5735287673223641,0.48030560226565505
b1_uniform,6,4,611,0.5913395519488266,0.539540468914049,0.4362432345658632,0.05065979528281026,0.7776478620522034,0.18781187074302902,0.12238028838762896,0.5016667339030938,0.4232030181130776
b1_uniform,7,4,641,0.7444877074128116,0.5847768968440606,0.4618787618485415,0.06204084577594128,1.0912299729080122,0.18339334263346344,0.11730049344888321,0.6198000707951787,0.5106983887547498
b1_uniform,8,4,568,1.1063703174360526,0.5784406630532014,0.457381871195625,0.07935968115919861,1.951397304030253,0.155078320802005,0.12299451825869123,0.8949720959618198,0.7099986521718662
b1_uniform,9,5,783,0.4459943505232625,0.5152885707390535,0.4423531771880277,0.03775385320632456,0.44862892159920414,0.23020797664806442,0.11823781180724346,0.39804182299544066,0.35608336140859664
b2_exact_act_m0_01,0,4,575,0.5740202611712077,0.6133005629972024,0.47361590532554154,0.04460838815316001,0.618081565345266,0.3239954431710495,0.1561406917944409,0.5184591905045058,0.46984325367114177
b2_exact_act_m0_01,1,4,609,0.40215147174369587,0.46053091292965587,0.4424226237531011,0.037579209723362844,0.4005106758990925,0.23193553571962564,0.12549727816645873,0.3643257081827913,0.33122816506699987
b2_exact_act_m0_01,2,4,555,0.5969668496036202,0.48976460697246726,0.43834546761203114,0.053262986283857186,0.8422070934653667,0.1828528459118401,0.1283727610387688,0.5049415154498914,0.4244193480653786
b2_exact_act_m0_01,3,4,571,0.7008408163579867,0.4991919998064309,0.44397877186117835,0.059858739548918564,1.0356843722216085,0.3012565984217889,0.14150096988108585,0.612044323483276,0.5343473922179043
b2_exact_act_m0_01,4,4,659,0.6211315942133984,0.6250712535485259,0.5139305032322905,0.048960869870862136,0.7188906309775794,0.3160355059154728,0.1559080053830508,0.5533324634805261,0.49400822408926276
b2_exact_act_m0_01,5,4,571,0.6891645267119733,0.5913148699282282,0.4933425037110637,0.058986950564934415,0.940647923233719,0.2282633074979715,0.13824317805576583,0.5867420335533062,0.4971223520394726
b2_exact_act_m0_01,6,4,611,0.6021484593075856,0.5589817995442327,0.44583345397764146,0.0509063547201606,0.7839327374796131,0.18629560408156146,0.1266262056127807,0.5097367137018024,0.4288764362967422
b2_exact_act_m0_01,7,4,641,0.7639668568147466,0.6145223291530895,0.4746258838377945,0.06206211224743596,1.0940768119760982,0.22197057431566433,0.12510930125158096,0.6435232384816173,0.538135072440129
b2_exact_act_m0_01,8,4,568,1.113602449548083,0.5893904348297372,0.46212850210922257,0.0794720222255276,1.9523966508743529,0.16985588972431076,0.1246693813231268,0.9038809918094669,0.720374716288178
b2_exact_act_m0_01,9,5,783,0.4641858515481201,0.5475952888821919,0.45805487061216754,0.038112265544164366,0.4549706167442743,0.24160324395744218,0.1250923656265432,0.41472304986130276,0.37144309838533757
b2_tuned_act_oldest_exponential,0,4,575,0.567322201088667,0.5917922369411432,0.46251287864537616,0.04466401924796854,0.6227173034475358,0.3277267864546316,0.15200418992846396,0.5140787756144369,0.4674907783244856
b2_tuned_act_oldest_exponential,1,4,609,0.38317097057997807,0.43377239310178106,0.4285579638561936,0.036897670594794055,0.38577219527930123,0.2235630289165994,0.12301895276441213,0.3477025390992272,0.3166676615535703
b2_tuned_act_oldest_exponential,2,4,555,0.5869477454617864,0.47498888871230394,0.4313373314907021,0.05298624848211836,0.8369821580497162,0.17272107794644398,0.12529356751210668,0.4948973749028214,0.41435330066372705
b2_tuned_act_oldest_exponential,3,4,571,0.6814811846895341,0.4688786985235568,0.42884833653168997,0.05922982797742999,1.0196094508628402,0.3049038446675478,0.13568972148571046,0.597797331351315,0.5245739596803731
b2_tuned_act_oldest_exponential,4,4,659,0.6058335918318383,0.6076613619322275,0.5050447666656036,0.04853312373033536,0.7057727330212304,0.30053285796249374,0.15147632154150004,0.5379889843053173,0.47862495271961136
b2_tuned_act_oldest_exponential,5,4,571,0.6805578737789162,0.5828481041489225,0.4887242858280272,0.059064245182401526,0.938254413822542,0.20059756253801914,0.13597446829120466,0.5739000268364947,0.4805744107618757
b2_tuned_act_oldest_exponential,6,4,611,0.5923672119364736,0.5414641787184273,0.43722624884830363,0.05067703569095742,0.7781220255523346,0.18781187074302902,0.12276759822472133,0.5024660250045969,0.423802486439205
b2_tuned_act_oldest_exponential,7,4,641,0.7467555247258172,0.5877300728939102,0.46316491647676983,0.06203970945686457,1.0914792110777847,0.18966082116563557,0.11805916408603605,0.6229567017124434,0.5146327315757414
b2_tuned_act_oldest_exponential,8,4,568,1.1067200940377653,0.5794839552926645,0.45785064315653023,0.07936702918301182,1.9513884111630402,0.1544235588972431,0.12311573926582024,0.8950986417843159,0.7099298710625477
b2_tuned_act_oldest_exponential,9,5,783,0.447786231472256,0.5184524955745113,0.44393849144395575,0.03778784143071155,0.4492400372050079,0.2314260219672338,0.1188934731890143,0.39970618491558435,0.3576361441784967
b3_tuned_newest_age_exponential,0,4,575,0.552697725048747,0.5434850791965861,0.42986554000278443,0.045392862957648036,0.6494064831417483,0.290209388326226,0.14119475879270127,0.4943669835548535,0.4433275847476966
b3_tuned_newest_age_exponential,1,4,609,0.3272594911118868,0.3572287563004368,0.3841834577684915,0.03530859149821583,0.34967919348085214,0.17009258843934094,0.11510484231153559,0.2923335127402099,0.2617732816649927
b3_tuned_newest_age_exponential,2,4,555,0.5657449247678881,0.44336091113589227,0.4119048957913496,0.05268089341390995,0.8242485475854888,0.15738609721107286,0.11990673154810005,0.4749985186441513,0.39559541328588177
b3_tuned_newest_age_exponential,3,4,571,0.6184323897911255,0.38639520652252546,0.38239428371820466,0.057497460032838635,0.9729436859095595,0.25101005124162395,0.12231989245928565,0.5367829812245696,0.4653397487288332
b3_tuned_newest_age_exponential,4,4,659,0.5573717330207794,0.5629850872759068,0.4790131422476649,0.047510925984859204,0.6714119735321187,0.19841094872137918,0.14001988220753198,0.47760266984313493,0.40780473956269603
b3_tuned_newest_age_exponential,5,4,571,0.663856792360144,0.5556945336242007,0.4717857498508419,0.05933739841134941,0.9413769751208173,0.1557830202859544,0.12761390538525788,0.5509515096769908,0.4521593873292317
b3_tuned_newest_age_exponential,6,4,611,0.5772350140881598,0.49750743351190674,0.4112397454311559,0.05083846161685007,0.7805109483637218,0.20658995299023328,0.11623247607421246,0.4948694449552872,0.42279957196402385
b3_tuned_newest_age_exponential,7,4,641,0.7063268910242426,0.5158954730516466,0.42951098959962397,0.06229145280377524,1.087737897381542,0.13338812587013177,0.10105852728184592,0.5790071654344401,0.467602405543363
b3_tuned_newest_age_exponential,8,4,568,1.1066029085174298,0.5576841233400702,0.44596533989844844,0.07970660581414116,1.9605526548463805,0.19151002506265663,0.12439748035933589,0.9032489344163692,0.7253142070779409
b3_tuned_newest_age_exponential,9,5,783,0.3994280199066741,0.44540234929387984,0.4039103001213025,0.037060425067540974,0.4361990291605304,0.1511920039834877,0.1050155350670094,0.3442644608126327,0.29599634660534635
b4_official_cogact_alpha0_1,0,4,575,0.5655323409691051,0.5891446155961088,0.4605372347695954,0.04464843495861743,0.6232615838522172,0.3215077884387586,0.1517420693407186,0.5113046626290282,0.4638554440814608
b4_official_cogact_alpha0_1,1,4,609,0.37621656460414077,0.4249520372472277,0.42387988785420594,0.03672743373645863,0.38285440502911466,0.21009662539995816,0.11910148939488702,0.3393010225587668,0.30699992326906467
b4_official_cogact_alpha0_1,2,4,555,0.5849177648113015,0.4703609524966606,0.42921311270556606,0.05298778247625704,0.8367851998076313,0.17298589676623477,0.12453227843607041,0.4933773496901756,0.4132794864591904
b4_official_cogact_alpha0_1,3,4,571,0.677145608878502,0.4621330429230433,0.42538680373908816,0.05911272992361115,1.0161820048837666,0.3050741187290841,0.13435391317102874,0.5944630555119647,0.5221158213162446
b4_official_cogact_alpha0_1,4,4,659,0.599679957361612,0.6016720230218295,0.5013412050920644,0.048428399572594,0.7029319728572964,0.28394771389390594,0.14803088497561845,0.5295172365910106,0.4681248559167345
b4_official_cogact_alpha0_1,5,4,571,0.6732716572250195,0.5771919814882034,0.4859237699223705,0.059039186160982325,0.9377946782267074,0.1679416214304041,0.13313732671065726,0.5609760937151049,0.4627174756439298
b4_official_cogact_alpha0_1,6,4,611,0.5919872476702573,0.5384821759052332,0.43513026872500515,0.05067517304373814,0.7780730875559856,0.19424494330814462,0.12182097930107469,0.5036000689231211,0.426261287519377
b4_official_cogact_alpha0_1,7,4,641,0.7379392955167374,0.5782699800756756,0.4593240129321747,0.06197824399253646,1.0889119154135947,0.1640293821493511,0.11442009984139785,0.6104037592128738,0.4988101649469932
b4_official_cogact_alpha0_1,8,4,568,1.1080049245010177,0.5778448978098092,0.4560210690867882,0.07939691398975943,1.9530742785739355,0.16327694235588971,0.12319751579185721,0.8980653729132115,0.714368265273881
b4_official_cogact_alpha0_1,9,5,783,0.4412843884057935,0.5084669600452805,0.4392644913587523,0.03773492260501088,0.4478710453111535,0.21997670277125275,0.11603206877259398,0.39210490270922893,0.3490728527247349
b5_tuned_cogact_cosine,0,4,575,0.5639331426193839,0.5888538076698263,0.45914670815898384,0.04461008179257426,0.6233787228304449,0.3108344068348733,0.1524489763034016,0.5076889791117148,0.45847533604250446
b5_tuned_cogact_cosine,1,4,609,0.3662235644237886,0.41506486465550513,0.4184494819355976,0.03655157539892092,0.3804607428848537,0.17698812834544422,0.11347861472608059,0.32417124529526764,0.2873754660578118
b5_tuned_cogact_cosine,2,4,555,0.5864017473163805,0.4657094447955176,0.42705737528722737,0.0530389583633919,0.8374092144660901,0.19545625342984066,0.12465486829959091,0.4995249708971494,0.42350779153032225
b5_tuned_cogact_cosine,3,4,571,0.6709289671843021,0.45671964207505855,0.42217077072604847,0.059019045785069585,1.0129918569924086,0.2873682730877136,0.13380969325311448,0.5856932573850602,0.5111120113107235
b5_tuned_cogact_cosine,4,4,659,0.5903425251431048,0.5947892236511024,0.4964357926320438,0.04832365827121899,0.7004552619351883,0.24666421924286164,0.14373919018048587,0.5139695682763842,0.44714323101800346
b5_tuned_cogact_cosine,5,4,571,0.6675066363579488,0.5687831202665984,0.4818750414210744,0.0589866031004207,0.9375465092414856,0.15355756598138898,0.12913705606766324,0.5532957318298244,0.45336119036771555
b5_tuned_cogact_cosine,6,4,611,0.5933120468634081,0.5375952093975753,0.43341589692050986,0.05070816467837534,0.7789376835782903,0.20358564911625926,0.12150373753750249,0.5067061806973749,0.430926047802096
b5_tuned_cogact_cosine,7,4,641,0.7255695669287034,0.5664794045334753,0.4545626073581758,0.061869887497816856,1.0848614772321474,0.1249643232040559,0.10988892037715059,0.5921017349898929,0.4753173820434337
b5_tuned_cogact_cosine,8,4,568,1.112040847255043,0.578172881041227,0.4539230213371675,0.07947447961999822,1.9564428970567973,0.18043859649122806,0.12470759750067323,0.9050181248630841,0.7238732427701202
b5_tuned_cogact_cosine,9,5,783,0.4306477057124859,0.495829220990074,0.4333446247789016,0.037710952320142564,0.44671561998864695,0.18689941705123875,0.11261676603886647,0.3764814193433199,0.3290859187702996
b6_control_semantic_similarity,0,4,575,0.5637488132460213,0.5821137953362734,0.45458195598647794,0.04453199481827027,0.626848018657661,0.3193562507403459,0.15029327743973997,0.5094393549114269,0.46191857886865656
b6_control_semantic_similarity,1,4,609,0.36616982534147496,0.4123328906332434,0.41409654878926794,0.03636605942093982,0.37805769120950306,0.19201703186208546,0.11462782130240232,0.32746920456827733,0.29360616139172935
b6_control_semantic_similarity,2,4,555,0.583331290606305,0.46747084300590896,0.42612176079835584,0.05287505615097547,0.8356454857103098,0.17397004809547814,0.12323510636315198,0.492362125603899,0.4127641062267938
b6_control_semantic_similarity,3,4,571,0.6627496320699566,0.45126200972231156,0.4179287636917326,0.058469795282914176,0.9998136882804463,0.28602033048142395,0.1325612498812936,0.5790320094947272,0.5057790897414014
b6_control_semantic_similarity,4,4,659,0.5983324139407724,0.6027424661088285,0.5001932626920864,0.04839850321921759,0.7017115668659768,0.2749647986609907,0.14869337004166344,0.5264729438785987,0.46359590757419666
b6_control_semantic_similarity,5,4,571,0.6708003122695931,0.5697326322871382,0.482051176934261,0.05897753784559083,0.9390651069543737,0.16920896816261582,0.13125360081824416,0.5593355691347093,0.4618039188916859
b6_control_semantic_similarity,6,4,611,0.5931090402243869,0.5376998444554961,0.432924934366574,0.05054101355166047,0.7758308336332813,0.21117124730437545,0.12336799316420177,0.5082339751310511,0.43396829317438207
b6_control_semantic_similarity,7,4,641,0.7327602549603616,0.5684616648789503,0.45553079887278886,0.06199096728952229,1.0866978799261808,0.16384315030713642,0.11351641397794038,0.6063342317040893,0.4957114613548511
b6_control_semantic_similarity,8,4,568,1.1137157300968432,0.5954710742066596,0.459383368854335,0.07922889985900425,1.9440563143985896,0.1774279448621554,0.12763603650786165,0.9056517778224682,0.7235958195823899
b6_control_semantic_similarity,9,5,783,0.4341858621507482,0.49883261016538516,0.43359871300246516,0.037594245098784215,0.4451674839897225,0.2073007525899148,0.11540478934385093,0.38376694891500746,0.3396503998337343
b5_tuned_cogact_cosine_semantic_aggregation,0,4,575,0.5682992627130674,0.5906055259176177,0.4548772499861335,0.04459359103543001,0.6257588972351108,0.32900156953328596,0.22425345063829139,0.5151219975620048,0.4685918905548251
b5_tuned_cogact_cosine_semantic_aggregation,1,4,609,0.3683311671439611,0.3996729176975927,0.40771273447001993,0.03618094302004503,0.3753645436595078,0.25320578593642534,0.1752201340588112,0.342747749097842,0.32036225830748777
b5_tuned_cogact_cosine_semantic_aggregation,2,4,555,0.5916741194302797,0.46173009546935895,0.4240446164660738,0.05320507312796394,0.838830492993001,0.2400370706248784,0.16691126148022403,0.5135325530290795,0.44515868242802925
b5_tuned_cogact_cosine_semantic_aggregation,3,4,571,0.6713147010580864,0.4535029356179029,0.4151339212277949,0.058763540266497084,1.0042110131832864,0.3260610610030374,0.21705991957535195,0.5945916699347423,0.527459017701816
b5_tuned_cogact_cosine_semantic_aggregation,4,4,659,0.5934001832036359,0.5840794695525813,0.4853764387941423,0.048089495082277126,0.6953945721670441,0.31537915726657445,0.22205125489406902,0.5316177329953999,0.47755808906319364
b5_tuned_cogact_cosine_semantic_aggregation,5,4,571,0.6708117172779828,0.5489808696851379,0.47228883550204415,0.05894117392032521,0.9392167066657604,0.23108929189318428,0.17370530851702579,0.5730956227480276,0.4875940400343167
b5_tuned_cogact_cosine_semantic_aggregation,6,4,611,0.605933782646876,0.5447573932584071,0.43185342795385046,0.050834751359906456,0.7820458464540287,0.26112675939082464,0.1818283789082753,0.5293099997010868,0.4622641896235212
b5_tuned_cogact_cosine_semantic_aggregation,7,4,641,0.7182298468571905,0.5397688238195608,0.4425281289801025,0.06166976417806073,1.0767878203169148,0.17793899559090565,0.1381480974132767,0.5981652132424604,0.4931086588295718
b5_tuned_cogact_cosine_semantic_aggregation,8,4,568,1.1407864348209165,0.5944415908817844,0.4526375551811339,0.07975395791804674,1.9671292215282565,0.3007926065162907,0.20797615285941834,0.9541211396421105,0.7907890063606555
b5_tuned_cogact_cosine_semantic_aggregation,9,5,783,0.41696300718662516,0.4660209727695034,0.41769070509419715,0.03773809622515566,0.4455106713759938,0.1841461178698844,0.1369555922080988,0.36522592067179394,0.3199559699713165
b6_control_semantic_similarity_semantic_aggregation,0,4,575,0.5657450646042321,0.5821137953362734,0.45458195598647794,0.04453210232881083,0.6268515072765553,0.33331954439113953,0.22645333305895288,0.5140949490013228,0.4689010978487769
b6_control_semantic_similarity_semantic_aggregation,1,4,609,0.3702209995069499,0.4123328906332434,0.41409654878926794,0.036366219333337974,0.37806153523702946,0.2203637189378308,0.1573648638230361,0.33691938160270124,0.3077804659364836
b6_control_semantic_similarity_semantic_aggregation,2,4,555,0.5852536491951295,0.46747084300590896,0.42612176079835584,0.05287504064848962,0.8356450810626459,0.18742777216024128,0.13724596615778772,0.49684789874293206,0.41949286709725936
b6_control_semantic_similarity_semantic_aggregation,3,4,571,0.6658507670358014,0.45126200972231156,0.4179287636917326,0.058470102010243725,0.9998224819222086,0.30770189431704886,0.20719131325154344,0.5862621286538563,0.5166220700696544
b6_control_semantic_similarity_semantic_aggregation,4,4,659,0.6010453420216874,0.6027424661088285,0.5001932626920864,0.048398743092995536,0.701718083783834,0.293935744473824,0.2114260210509723,0.5327987647888289,0.47308300971007766
b6_control_semantic_similarity_semantic_aggregation,5,4,571,0.674909844059088,0.5697326322871382,0.482051176934261,0.05897765134407245,0.9390689735961565,0.19796409076373203,0.15655868439726092,0.5689218988823422,0.47618244685268973
b6_control_semantic_similarity_semantic_aggregation,6,4,611,0.5950002719760217,0.5376998444554961,0.432924934366574,0.050541111484188786,0.7758339512987396,0.2244005165694451,0.16080363110956547,0.5126447707745603,0.44058370722328144
b6_control_semantic_similarity_semantic_aggregation,7,4,641,0.7345263860384901,0.5684616648789503,0.45553079887278886,0.06199099823647296,1.0866984768051153,0.17620427721723386,0.13969043821190247,0.6104548063004331,0.5018921740296334
b6_control_semantic_similarity_semantic_aggregation,8,4,568,1.1181956578774872,0.5954710742066596,0.459383368854335,0.07922871167812677,1.944046864349582,0.20881578947368423,0.156101318972556,0.916111242676642,0.7392873793759025
b6_control_semantic_similarity_semantic_aggregation,9,5,783,0.43528776270672276,0.49883261016538516,0.43359871300246516,0.03759425471058753,0.4451676318281826,0.215013612966357,0.157448924164925,0.3863379516533082,0.34350686698157046
